date,common_name,photo_link,lon,place,observer,description,count,lat
2025-06-04,Tweestippelig lieveheersbeestje-Adalia bipunctata,https://waarnemingen.be/photos/120553953/,,Terrils de La Louvière (HA),Nathalie Picard,"Tweestippelig lieveheersbeestje-Adalia bipunctata is a beetle species found in the Hainaut region of Belgium. It belongs to the Coleoptera order of insects, which is the largest order of insects with over 400,000 described species.",1,
2025-06-04,Tienstippelig lieveheersbeestje-Adalia decempunctata,https://waarnemingen.be/species/8934/photos/?date_after=2025-06-04&date_before=2025-06-04&country_division=23,,Marcinelle (HA),Servais Bernard,"Tienstippelig lieveheersbeestje-Adalia decempunctata is a beetle species found in the Hainaut region of Belgium. It belongs to the Coleoptera order of insects, which is the largest order of insects with over 400,000 described species.",1,
2025-06-04,Zevenstippelig lieveheersbeestje-Coccinella septempunctata,https://waarnemingen.be/species/8944/photos/?date_after=2025-06-04&date_before=2025-06-04&country_division=23,,Bernissart (HA),Louis Bronne,"Zevenstippelig lieveheersbeestje-Coccinella septempunctata is a beetle species found in the Hainaut region of Belgium. It belongs to the Coleoptera order of insects, which is the largest order of insects with over 400,000 described species.",1,
2025-06-04,Lieveheersbeestje onbekend-Coccinellidae indet.,https://waarnemingen.be/species/156859/photos/?date_after=2025-06-04&date_before=2025-06-04&country_division=23,,Flobecq - La Louvière (HA),Hans Uitterhaegen,"Lieveheersbeestje onbekend-Coccinellidae indet. is a beetle species found in the Hainaut region of Belgium. It belongs to the Coleoptera order of insects, which is the largest order of insects with over 400,000 described species.",1,
2025-06-04,Aziatisch lieveheersbeestje-Harmonia axyridis,https://waarnemingen.be/species/8953/photos/?date_after=2025-06-04&date_before=2025-06-04&country_division=23,,Flobecq - La Louvière (HA),,"Aziatisch lieveheersbeestje-Harmonia axyridis is a beetle species found in the Hainaut region of Belgium. It belongs to the Coleoptera order of insects, which is the largest order of insects with over 400,000 described species.",1,
2025-06-04,Viervlekkig Aziatisch lieveheersbeestje-Harmonia axyridis f. spectabilis,https://waarnemingen.be/photos/120602330/,,Mons (HA),Servais Bernard,"Viervlekkig Aziatisch lieveheersbeestje-Harmonia axyridis f. spectabilis is a beetle species found in the Hainaut region of Belgium. It belongs to the Coleoptera order of insects, which is the largest order of insects with over 400,000 described species.",1,
2025-06-04,Veelstippig Aziatisch lieveheersbeestje-Harmonia axyridis f. succinea,https://waarnemingen.be/photos/120573698/,,Mons (HA),Loïc Rochet,"Veelstippig Aziatisch lieveheersbeestje-Harmonia axyridis f. succinea is a beetle species found in the Hainaut region of Belgium. It belongs to the Coleoptera order of insects, which is the largest order of insects with over 400,000 described species.",1,
2025-06-04,Twaalfvleklieveheersbeestje-Vibidia duodecimguttata,https://waarnemingen.be/photos/120554305/,,Terrils de La Louvière (HA),Nathalie Picard,"Twaalfvleklieveheersbeestje-Vibidia duodecimguttata is a beetle species found in the Hainaut region of Belgium. It belongs to the Coleoptera order of insects, which is the largest order of insects with over 400,000 described species.",1,
2025-06-04,Fraaie schijnbok-Oedemera nobilis,https://waarnemingen.be/species/20114/photos/?date_after=2025-06-04&date_before=2025-06-04&country_division=23,,,,"Fraaie schijnbok-Oedemera nobilis is a beetle species found in the Hainaut region of Belgium. It belongs to the Coleoptera order of insects, which is the largest order of insects with over 400,000 described species.",1,
2025-06-04,Anaspis fasciata,https://waarnemingen.be/photos/120608401/,,Hautrage (HA),Mario Lemaire et Elisabeth Lorin,Anaspis fasciata is een keversoort uit de familie bloemspartelkevers (Scraptiidae). De wetenschappelijke naam van de soort is voor het eerst geldig gepubliceerd in 1771 door Forster.[1] Taxonomy: Portaal Biologie Insecten: Portaal,1,
2025-06-04,Veranderlijke boktor-Phymatodes testaceus,https://waarnemingen.be/photos/120580669/,,Tournai (HA),Cédric Fontaine,"Veranderlijke boktor-Phymatodes testaceus is a beetle species found in the Hainaut region of Belgium. It belongs to the Coleoptera order of insects, which is the largest order of insects with over 400,000 described species.",1,
2025-06-04,Tweekleurige smalboktor-Stenurella melanura,https://waarnemingen.be/species/20176/photos/?date_after=2025-06-04&date_before=2025-06-04&country_division=23,,Bernissart (HA),Nathalie Picard,"Tweekleurige smalboktor-Stenurella melanura is a beetle species found in the Hainaut region of Belgium. It belongs to the Coleoptera order of insects, which is the largest order of insects with over 400,000 described species.",1,
2025-06-04,Kleine zwarte smalboktor-Stenurella nigra,https://waarnemingen.be/photos/120554474/,,Terrils de La Louvière (HA),Nathalie Picard,"Kleine zwarte smalboktor-Stenurella nigra is a beetle species found in the Hainaut region of Belgium. It belongs to the Coleoptera order of insects, which is the largest order of insects with over 400,000 described species.",1,
2025-06-04,Grote populierenhaan-Chrysomela populi,https://waarnemingen.be/photos/120581395/,,Mons (HA),Servais Bernard,"Grote populierenhaan-Chrysomela populi is a beetle species found in the Hainaut region of Belgium. It belongs to the Coleoptera order of insects, which is the largest order of insects with over 400,000 described species.",1,
2025-06-04,Bladkever onbekend-Chrysomelidae indet.,https://waarnemingen.be/photos/120872519/,,Réserve de la Fontaine bleue (ZHIB) (HA),Christophe Gruwier,"Bladkever onbekend-Chrysomelidae indet. is a beetle species found in the Hainaut region of Belgium. It belongs to the Coleoptera order of insects, which is the largest order of insects with over 400,000 described species.",1,
2025-06-04,Coloradokever-Leptinotarsa decemlineata,https://waarnemingen.be/photos/120570790/,,Mons (HA),Loïc Rochet,"Coloradokever-Leptinotarsa decemlineata is a beetle species found in the Hainaut region of Belgium. It belongs to the Coleoptera order of insects, which is the largest order of insects with over 400,000 described species.",1,
